id;date;amount
1;2026-07-16T06:37:43;194.78
2;2026-07-16T20:35:26;13025.57
3;2026-07-16T01:03:51;18875.39
4;2026-07-16T00:22:10;31255.09
5;2026-07-16T08:38:11;7625.76
6;2026-07-16T11:05:02;12849.8
7;2026-07-16T06:15:31;21337.31
8;2026-07-16T18:50:15;14751.09
9;2026-07-16T18:55:07;16556.43
10;2026-07-16T02:00:11;8846.1
11;2026-07-15T23:17:41;21855.75
12;2026-07-16T02:11:37;5257.04
13;2026-07-16T19:27:48;5511.29
14;2026-07-16T02:17:43;13688.85
15;2026-07-16T06:03:33;5187.43
16;2026-07-16T09:54:39;18765.82
17;2026-07-16T13:09:54;19716.76
18;2026-07-16T06:47:04;12571.44
19;2026-07-16T15:16:48;2723.84
20;2026-07-16T03:26:48;13566.14
21;2026-07-16T06:13:35;26676.74
22;2026-07-16T08:57:24;19223.13
23;2026-07-16T18:20:50;21425.22
24;2026-07-16T10:48:43;17581.47
25;2026-07-16T15:05:07;8656.97
26;2026-07-16T02:37:17;1997.85
27;2026-07-16T11:53:23;32745.3
28;2026-07-16T09:45:14;29725.25
29;2026-07-16T20:01:22;15853.18
30;2026-07-16T12:34:09;5469.47
