id;reason;amount;date
1;charitable biathlète administration;9728.72;2026-07-16T15:17:06
2;tranquille si bien que débile;4219.44;2026-07-16T02:18:02
3;équipe de recherche partout désormais;14952.3;2026-07-16T15:01:52
4;triangulaire;1474.27;2026-07-16T19:44:44
5;prestataire de services autrefois;637.23;2026-07-16T08:03:02
6;conseil municipal de sorte que paf;12704.14;2026-07-16T19:07:11
7;camarade tout ah;23529.19;2026-07-16T01:56:37
8;dring recta;20766.02;2026-07-15T22:41:51
9;répondre exister maintenant;3187.47;2026-07-16T10:00:16
10;fidèle guetter conseil municipal;10046.53;2026-07-16T07:46:14
11;administrer;10927.23;2026-07-16T16:42:44
12;au-devant ding;32136;2026-07-15T22:03:09
13;murmurer rallier avare;22164.66;2026-07-16T16:41:58
14;bè plus;15588.36;2026-07-16T08:47:37
15;population du Québec badaboum infime;21149.11;2026-07-16T17:29:32
16;administration;6641.13;2026-07-15T22:00:53
17;hausser;19004.33;2026-07-16T05:44:12
18;moins;28183;2026-07-15T22:45:52
19;par suite de même si à la faveur de;9753.58;2026-07-16T09:11:14
20;mature arriver partout;27031.65;2026-07-16T10:56:08
21;personnel professionnel rapide combattre;25741.09;2026-07-16T12:10:14
22;pourvu que séculaire carrément;29459.63;2026-07-16T18:38:41
23;équipe géométrique;28132.14;2026-07-16T16:47:54
24;si bien que secours;32623.43;2026-07-16T11:33:01
25;d'abord espiègle trop;12404.9;2026-07-16T08:42:23
26;partout;25007.05;2026-07-16T08:52:45
27;tellement prononcer;28327.95;2026-07-16T00:05:29
28;serviable vu que;11068.29;2026-07-16T10:56:11
29;lunatique tantôt groin groin;13684.33;2026-07-16T11:57:18
30;à peine grrr;27827.89;2026-07-16T09:23:58
