id;type;start_date;end_date;status
1;HALF_YEARLY;2026-07-16T14:25:44;2026-07-15T23:01:18;EXPIRED
2;HALF_YEARLY;2026-07-16T14:06:35;2026-07-16T21:20:50;EXPIRED
3;YEARLY;2026-07-16T13:34:28;2026-07-16T10:16:47;CANCELLED
4;YEARLY;2026-07-16T06:57:32;2026-07-15T22:53:32;EXPIRED
5;MONTHLY;2026-07-16T08:49:12;2026-07-15T21:53:03;CANCELLED
6;MONTHLY;2026-07-15T23:17:58;2026-07-16T20:25:56;EXPIRED
7;MONTHLY;2026-07-16T08:23:41;2026-07-15T21:48:57;EXPIRED
8;QUARTERLY;2026-07-16T12:21:21;2026-07-16T12:47:08;EXPIRED
9;MONTHLY;2026-07-16T09:08:40;2026-07-16T19:00:16;EXPIRED
10;QUARTERLY;2026-07-16T15:54:18;2026-07-16T05:00:47;EXPIRED
11;QUARTERLY;2026-07-16T18:37:54;2026-07-16T01:32:46;CANCELLED
12;HALF_YEARLY;2026-07-16T14:23:30;2026-07-15T23:08:23;ACTIVE
13;MONTHLY;2026-07-16T04:24:22;2026-07-15T22:52:26;CANCELLED
14;QUARTERLY;2026-07-16T17:35:05;2026-07-16T11:30:09;EXPIRED
15;QUARTERLY;2026-07-16T00:29:28;2026-07-16T00:03:30;CANCELLED
16;HALF_YEARLY;2026-07-16T00:16:28;2026-07-16T18:02:56;EXPIRED
17;HALF_YEARLY;2026-07-15T23:45:46;2026-07-16T05:09:21;EXPIRED
18;MONTHLY;2026-07-16T00:14:24;2026-07-16T14:11:02;ACTIVE
19;HALF_YEARLY;2026-07-16T10:57:19;2026-07-16T15:36:25;CANCELLED
20;HALF_YEARLY;2026-07-16T16:32:20;2026-07-15T22:04:09;EXPIRED
21;YEARLY;2026-07-16T11:03:14;2026-07-16T02:16:00;CANCELLED
22;HALF_YEARLY;2026-07-16T12:39:18;2026-07-16T01:52:19;EXPIRED
23;MONTHLY;2026-07-16T17:01:21;2026-07-15T22:55:43;EXPIRED
24;QUARTERLY;2026-07-16T02:43:30;2026-07-16T01:43:05;ACTIVE
25;MONTHLY;2026-07-16T10:05:49;2026-07-15T23:42:06;CANCELLED
26;MONTHLY;2026-07-16T16:35:18;2026-07-16T11:36:07;CANCELLED
27;HALF_YEARLY;2026-07-16T09:18:05;2026-07-16T14:58:36;ACTIVE
28;YEARLY;2026-07-16T07:02:22;2026-07-16T09:49:26;ACTIVE
29;QUARTERLY;2026-07-16T08:15:50;2026-07-16T04:58:40;ACTIVE
30;HALF_YEARLY;2026-07-16T04:21:34;2026-07-15T23:24:24;CANCELLED
