id;total_amount;amount_paid;remaining_amount;date
1;29842.55;134.99;13541.89;2026-07-16T20:16:12
2;1492.53;8068.95;3719.23;2026-07-15T22:24:15
3;28341.06;3656.12;29934.75;2026-07-16T03:54:39
4;1569.83;4768.16;6225.79;2026-07-16T18:45:42
5;18393.12;12796.67;27490.44;2026-07-16T03:34:24
6;5984.79;23967.95;10338.92;2026-07-16T03:31:42
7;22542.86;21346.15;10941.28;2026-07-16T08:21:22
8;18756.45;29267.4;32133.6;2026-07-16T16:14:00
9;5575.54;2886.09;26166.35;2026-07-16T18:58:41
10;32581.43;1468.18;9278.49;2026-07-16T02:54:53
11;25859.46;30049.19;13467.01;2026-07-16T00:53:58
12;419.15;575.26;14800.95;2026-07-16T19:12:29
13;24061.41;28811.2;9241.81;2026-07-16T13:54:29
14;20124.13;16948.23;26130.41;2026-07-16T21:26:08
15;2554.15;13189.39;14186.33;2026-07-16T08:47:35
16;4798.55;10649.11;6809.67;2026-07-16T08:40:18
17;14065.02;16230.86;7751.34;2026-07-16T17:53:01
18;8413.32;5210.9;15021.08;2026-07-16T06:35:08
19;3474.7;12614.46;6818.73;2026-07-16T02:59:54
20;18591.47;26234.9;6269.08;2026-07-16T15:58:21
21;22578.86;32407.7;11042.84;2026-07-16T10:19:20
22;15507.15;3470.65;27448.56;2026-07-16T20:37:08
23;18944.89;24031.54;14114.11;2026-07-16T17:29:34
24;17722.23;12949.19;15820.49;2026-07-16T03:24:11
25;465.53;9310.37;25304.31;2026-07-15T22:57:21
26;5956.5;7092.86;16353.39;2026-07-16T07:54:28
27;15854.86;27626.08;28077.64;2026-07-16T19:31:02
28;3215.22;21208.04;3220.15;2026-07-16T17:36:40
29;27474.42;17162.17;12992.64;2026-07-15T23:53:41
30;6753.99;11520.55;13823.1;2026-07-16T16:20:48
