id;amount_paid;remaining_amount;date
1;20271.11;4437.43;2026-07-16T12:07:25
2;10572.14;14026.46;2026-07-16T12:14:34
3;16384.45;27679.52;2026-07-16T13:30:52
4;10013.69;23585;2026-07-16T00:15:02
5;30650.45;8930.03;2026-07-16T02:33:38
6;24077.71;30894.57;2026-07-16T11:18:28
7;3302.79;21849.17;2026-07-16T14:23:11
8;14914.02;24651.25;2026-07-16T20:30:30
9;16985.67;24447.8;2026-07-16T07:48:38
10;25880.18;15329.2;2026-07-16T00:32:21
11;4197.62;12922.76;2026-07-16T01:53:20
12;8133.13;1219.38;2026-07-16T13:32:31
13;30403.19;10675.49;2026-07-15T22:21:49
14;32509.65;22547.66;2026-07-16T07:44:22
15;29278.1;24297.93;2026-07-16T09:35:55
16;14360.49;14582.5;2026-07-16T04:26:45
17;3929.6;25881.74;2026-07-16T01:40:29
18;7602.79;21364.82;2026-07-16T00:13:31
19;21888.48;13280.68;2026-07-16T07:19:39
20;23341.11;4638.34;2026-07-16T01:28:46
21;11553.08;26083.77;2026-07-16T12:20:53
22;19537.87;25831.6;2026-07-16T12:04:54
23;32436.54;12237.63;2026-07-16T20:21:58
24;10989.34;25310;2026-07-16T12:33:32
25;506.35;15253.52;2026-07-15T23:37:10
26;20974.8;24181.45;2026-07-16T16:05:56
27;29721.07;23894.18;2026-07-16T19:47:00
28;2791.05;3540.79;2026-07-16T00:47:54
29;13236.28;3307.23;2026-07-16T15:34:19
30;1829.08;26944.97;2026-07-16T02:04:16
