id;code;label
1;moyennant;du moment que aussitôt que d’autant que
2;choisir moderne;croâ
3;autour de;dans collègue
4;à même incalculable;assez désigner
5;agréable bien que sur;quoique
6;enfoncer;après-demain cocorico zzzz
7;horrible soit;à côté de revenir
8;traduire loin;communauté étudiante extrêmement bien que
9;briser tandis que refaire;ouf
10;dans la mesure où;antique
11;d’autant que;partout
12;tant peser moyennant;personnel professionnel cocorico vouh
13;parlementaire électorat en dehors de;bientôt recouvrir
14;diététiste;entre
15;trop direction;au-devant conseil municipal
16;perplexe quoique;croâ
17;bien que;cot cot administration
18;environ jusque d’autant que;fourbe que snif
19;conseil d’administration;impromptu tic-tac
20;vers;neutre
21;à seule fin de triompher;vivace
22;placide près;secours
23;terriblement;guide vraiment
24;trop;gens
25;insuffisamment adversaire parlementaire;souhaiter de crainte que
26;assez hier cadre;après
27;par intrépide;au lieu de entourer foule
28;dans la mesure où pour;totalement
29;rose tandis que tandis que;dessous bang
30;membre à vie conférer aussi;tant
