id;barcode;designation;initial_stock;current_stock;unit_price
1;commis de cuisine;pacifique perplexe;30622;23065;23227.31
2;administrer;d'après;14762;31600;27021.69
3;terminer cadre;pour que collègue mélancolique;30898;14991;25150.8
4;bang coin-coin fonctionnaire;insipide secours plus;16048;14993;8899.31
5;remonter;aussitôt que pourpre nonobstant;20609;22544;20343.34
6;jusqu’à ce que contre patientèle;de si bien que;23107;21995;8760.99
7;subito boum jusqu’à ce que;à seule fin de super;14007;6065;19828.07
8;trop parmi;coupable mairie chef de cuisine;28726;26711;18571.77
9;hé;rédiger;27800;19782;13774.88
10;personnel professionnel plic;pourvu que apaiser camper;9103;17298;4696.3
11;horrible étant donné que de sorte que;serviable autant;8763;8951;3241.19
12;près conseil d’administration;secours;15849;19670;16444.52
13;au moyen de;jusqu’à ce que après-demain;18863;13526;16296.16
14;de peur que téléphoner;prestataire de services énoncer;29249;23292;21395.03
15;administration peindre sans que;entre-temps derechef rejeter;5706;32693;25699.79
16;couler faciliter;au prix de prévoir habile;21370;8863;28904.84
17;personnel rectorat recourir;naguère;15765;9118;21950.32
18;immense sale aux environs de;coïncider;10044;3213;13145.36
19;ouah sitôt à raison de;pendant que de manière à;14448;3671;13809.21
20;jadis assez;sitôt que étant donné que tout;150;26282;18152.01
21;spécialiste;avex de par au cas où;29977;13619;19415.32
22;assez;fidèle avant hirsute;1652;30686;29634.32
23;tant que présidence;concurrence diététiste aux environs de;4438;24163;30428.91
24;électorat vouh;viser partenaire mieux;18008;19417;20930.58
25;au point que très;parce que multiple plic;19529;11149;26108
26;adepte avant de;conseil d’administration enfin habile;16684;31114;18183.7
27;au-dessus de tant;hors;29556;31248;16287.25
28;chef de cuisine rectorat aux alentours de;immense quitte à moyennant;9690;10356;29745.81
29;crac;malade;24236;26053;19637.98
30;autrefois psitt à moins de;corps enseignant;952;5648;505.49
