id;barcode;quantity;unit_price;total_price
1;à la faveur de avant que mince;8779;467.45;5813.95
2;si;26372;30272.57;31033.23
3;de manière à ce que;28124;29955.66;27464.75
4;électorat soit;27773;18904.27;17778.16
5;avant de;10475;11735.3;4646.13
6;classer céans corps enseignant;8122;28893.28;30451.08
7;pleuvoir population du Québec;22762;11364.41;18690.81
8;snif foule quelque;11356;3808.01;27814.73
9;jeune enfant approfondir lunatique;8127;27104.46;13093.44
10;hé;23171;30025.74;13703.16
11;tant;9975;15295.87;24244.82
12;bien que d'avec;31210;10614.08;20057.12
13;psitt en parce que;22766;16331.98;26124.67
14;bâtir drelin;31050;6076.69;17419.2
15;bang cependant afin de;1935;6878.68;32275.44
16;guère moyennant disparaître;30691;27887.86;12485.66
17;oui hormis vu que;28284;24542.7;21813.89
18;oups;28882;7974.7;32628.55
19;régler égoïste hystérique;22824;7018.48;9750.57
20;beaucoup;30571;4224.54;22798.07
21;refaire;12130;26985.26;25156.87
22;lors de;31656;22969.03;6223.7
23;marier intrépide;8420;17196.58;17264.6
24;ouah;30423;24000.17;23283.58
25;hypocrite à même;29349;10261.8;31068.78
26;derrière à demi;3759;25288.57;9222.48
27;sombre;25356;19981.17;18722.3
28;oups tant;1820;19606.6;17671.48
29;rédaction;3987;421.33;27411.77
30;informer;13864;3475.67;25313.21
