id;barcode;quantity;amount;date
1;tout à fait incognito tant;7702;15382.08;2026-07-16T15:33:17
2;badaboum;23097;9213.87;2026-07-16T18:58:09
3;coac coac euh areu areu;4778;10910.25;2026-07-15T21:33:03
4;adepte alors que quoique;10838;13719.96;2026-07-16T16:39:16
5;de peur de;8788;8025.26;2026-07-16T10:01:09
6;conseil d’administration;15686;1619.73;2026-07-16T08:58:39
7;à côté de conseil d’administration;19401;16290.15;2026-07-16T20:07:39
8;moins;32678;7612.74;2026-07-16T06:02:29
9;prout perplexe compter;13476;15946.65;2026-07-15T22:57:50
10;très;4800;10695.63;2026-07-16T06:47:09
11;candide drelin diplomate;14909;25191.03;2026-07-16T05:55:16
12;demain;23572;5573.58;2026-07-16T07:35:18
13;ensemble équipe coupable;11443;6241.34;2026-07-16T14:02:37
14;partenaire;30853;30827.61;2026-07-16T11:05:09
15;sitôt que extatique contrôler;7672;25377.46;2026-07-16T10:28:46
16;bang dans la mesure où;7390;14456.92;2026-07-16T19:01:44
17;avant précisément actionnaire;12655;13493.03;2026-07-16T02:13:38
18;de crainte que rudement;13908;248.91;2026-07-16T12:51:11
19;tant remédier rigoler;29171;1223.27;2026-07-16T04:05:30
20;recta disperser;20730;10475.53;2026-07-16T10:56:02
21;extatique drelin;27635;23535.15;2026-07-16T05:33:40
22;filer;22097;11290.43;2026-07-16T14:54:13
23;guide actionnaire;30987;5420.56;2026-07-16T06:50:44
24;de façon à ce que police;22428;10892.64;2026-07-16T15:24:00
25;juriste ressusciter;30238;16016.64;2026-07-16T00:50:28
26;bientôt hirsute de sorte que;23171;7174.47;2026-07-16T00:43:11
27;près;26717;29411.27;2026-07-16T17:27:30
28;autrefois;27891;18673.23;2026-07-16T15:59:02
29;gratis de manière à ce que;11313;25141.95;2026-07-16T04:50:21
30;gai;23366;4726.53;2026-07-16T06:14:35
