id;name;contact
1;tant que rattraper ha ha;près vaste
2;satisfaire deviner zzzz;moins
3;davantage concurrence rallier;personnel
4;insolite à l'instar de;badaboum
5;de crainte que sus traduire;élargir présidence en faveur de
6;céder sembler énumérer;puisque crac
7;jusqu’à ce que;de façon que
8;sitôt que;reconstruire clientèle jeune
9;secours plouf si;bang méditer grrr
10;tant vider;dehors
11;guide guide;à bas de triathlète
12;terriblement;considérable
13;au cas où ha population du Québec;aigre
14;membre titulaire avant-hier;sécher
15;sitôt bè;résigner
16;amorphe;candide
17;attendrir souvent décrocher;de la part de hôte
18;comme dessous divinement;pff tout à fait
19;plic sauf;tant que alors que brusque
20;juriste biathlète;subito
21;aïe vis-à-vie de;à côté de
22;grandement vu que;vouh près
23;à la faveur de;conseil d’administration
24;diététiste tant que;où
25;ouch présidence;assez
26;ah si délégation;gens
27;prout;ébranler
28;sans que rédaction encore;population du Québec à force de interdire
29;jusque terriblement gratis;bof prout par suite de
30;ouille ferme aux alentours de;clac
